Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,StarAltar,星星祭壇,แท่นบูชาดวงดารา,Hái sao trốn tìm,StarAltar,StarAltar,Altar de Estrellas,Звездный Алтарь,Autel des étoiles,Staraltar,Yıldız Sunağı,शख्स,Staraltar,ملجأ النجم,,اسٹارالٹر,StarAltar
GAME_DESCRIPTION,Hide in the old village. Gather all the stars and avoid  seeker's search.,在老舊的村莊中躲避搜尋者的搜索並收集所有星星,ซ่อนตัวในหมู่บ้านเก่าแก่ หลบหลีกสายตาของผู้หา รวบรวมดวงดาวให้ครบเพื่อเปิดแท่นบูชา!,Ẩn nấp trong ngôi làng cổ đại. Nhặt hết tất cả ngôi sao và tránh khỏi phe đi tìm.,Sembunyi di desa tua. Kumpulkan semua bintang dan hindari Seeker.,,Escóndete en el antiguo pueblo. Reúne todas las estrellas y evita a los Buscadores.,Спрячься в старой деревне. Собирай все звезды и избегай Водящего,Cachez-vous dans le vieux village. Rassemblez toutes les étoiles et évitez la recherche du chercheur.,,Eski köyde saklan. Tüm yıldızları topla ve arayandan kaç.,पुराने गाँव में छिपो। सभी सितारों को इकट्ठा करें और साधक की खोज से बचें।,Ascundeți -vă în satul vechi. Adunați toate stelele și evitați căutarea căutătorului.,اختبئ في القرية القديمة. اجمع كل النجوم وتجنب بحث الباحث.,အဟောင်းရွာ၌ဝှက်။ ကြယ်အားလုံးကိုစုဆောင်းပြီးရှာသောရှာဖွေသူကိုရှာဖွေခြင်းကိုရှောင်ပါ။,پرانے گاؤں میں چھپائیں۔ تمام ستاروں کو جمع کریں اور سالک کی تلاش سے بچیں۔,পুরানো গ্রামে লুকান। সবগুলো তারকা সংগ্রহ করুন এবং সিকারদের অনুসন্ধান এড়িয়ে যান!
BUFF_TIPS_HIDER_SPEED,Speed up for 15s,獲得移速加成15秒,เร่งความเร็ว 15 วินาที,Tăng tốc trong 15s,Lari cepat selama 15 detik,Acelerar por 15s,Acelerar por 15s,Ускорить на 15 секунд,Accélérer pendant 15s,Beschleunigen Sie 15s,15sn için hızlan,15 के लिए गति,Accelerează pentru 15 ani,تسريع 15 ثانية,15s များအတွက်အရှိန်,15s کے لئے تیز,15 সে. এর জন্য স্পিড-আপ
BUFF_TIPS_HIDER_SEE,Mark seekers for 15s,獲得標記找尋者效果15s,แสดงตำแหน่งของผู้หา 15 วินาที,Đánh dấu vị trí phe tìm trong 15s,Tandai seeker selama 15 detik,Marcar rastreadores por 15s,Marcar Buscadores por 15s,Отметить Водящих на 15 секунд,Marquez les chercheurs pour 15s,Markieren Sie Suchende für 15s,15sn boyunca arayanları işaretle,15 के लिए मार्क चाहने वालों को,Mark Seekers timp de 15 ani,تمييز على الباحثين لمدة 15 ثانية,15s အတွက်ရှာရန်ရှာဖွေခြင်း,15s کے لئے متلاشیوں کو نشان زد کریں,15 সে. এর জন্য সিকারদের মার্ক করুন
BUFF_TIPS_HIDER_HP,Max hp increase 30,獲得最大血量加成30點,HP สูงสุดเพิ่ม 30 หน่วย,Tăng 30 máu tối đa,Maks. HP meningkat 30,Aumento de 30 na vida máxima,PV máx. aumenta 30,Увеличение Макс ХП на 30,Max HP augmente 30,Max HP erhöhen 30,Maksimum cp 30 artar,अधिकतम एचपी 30 वृद्धि,Max HP crește 30,زيادة الحد الاقصى لنقاط الصحة 30,Max HP တိုးမြှင့်,زیادہ سے زیادہ HP میں اضافہ 30,সর্বোচ্চ এইচপি বৃদ্ধি 30
BUFF_TIPS_HIDER_DECOY,Decoy skill charge increase 1,獲得分身技能使用次數1次,ชาร์จสกิลสร้างตัวหลอกเพิ่ม 1,Tăng lượt sử dụng ngụy trang lên 1,Charge skill umpan meningkat 1,Habilidade de camuflagem aumenta 1,Habilidad de camuflaje aumenta 1,Увеличение заряда навыка приманки на 1,Augmentation des charges de compétence de leurre 1,Ladung für Köder 1 Erhöhung 1,Yem becerisi kullanımı 1 artar,डिकॉय स्किल चार्ज वृद्धि 1,Creșterea încărcăturii de abilități de decorare 1,زيادة مهارة الخداع 1,decoy ကျွမ်းကျင်မှုက 2,ڈیکو ہنر چارج 1 میں اضافہ,ডেকয় স্কিল চার্জ বৃদ্ধি 1
BUFF_TIPS_SEEKER_SPEED,Speed up for 15s,獲得移速加成15秒,เร่งความเร็ว 15 วินาที,Tăng tốc trong 15s,Lari cepat selama 15 detik,Acelerar por 15s,Acelerar por 15s,Ускорить на 15 секунд,Accélérer pendant 15s,Beschleunigen Sie 15s,15sn için hızlan,15 के लिए गति,Accelerează pentru 15 ani,تسريع 15 ثانية,15s များအတွက်အရှိန်,15s کے لئے تیز,15 সে. এর জন্য স্পিড-আপ
BUFF_TIPS_SEEKER_DETECTION,Detect hider for 15s,獲得偵測效果15秒,ตรวจหาผู้ซ่อน 15 วินาที,Đánh dấu phe trốn trong 15s,Tandai hider selama 15 detik,Detectar oportunistas por 15s,Detectar Escondidos por 15s,Обнаружение Прячущегося в течение 15 секунд,Détecter le cacheur pendant 15,Hider für 15s erkennen,15sn boyunca saklananı bul,15 के लिए HIDER का पता लगाएं,Detectați Hider pentru 15 ani,اكتشف المختبئ لمدة ​​15 ثانية,15s များအတွက် hider detect,15s کے لئے ہائڈر کا پتہ لگائیں,15 সে. এর জন্য হাইডার শনাক্ত করুন
BUFF_TIPS_SEEKER_DAMAGE,Damage up 30%,獲得傷害加成30%,เพิ่มความเสียหาย 30%,Tăng sát thương lên 30%,Damage hingga 30%,Dano de até 30%,Hasta 30% de daño,Усилить урон на 30%,Dégâts 30%,Schäden Sie 30%,Hasar %30 artar,30% नुकसान,Daune până la 30%,الضرر يصل 30%,30% ကိုပျက်စီးစေ,30 ٪ تک نقصان,ড্যামেজ আপ 30%
BUFF_TIPS_SEEKER_AMMO,Receive 20 shotgun ammo,獲得霰彈槍子彈20發,รับกระสุนปืนลูกซอง 20 กระสุน,Nhận 20 khẩu súng ngắn,Menerima 20 amunisi senapan,Receba 20 munição de espingarda,Recibir 20 munición de escopeta,Получите 20 боеприпасов для дробовика,Recevoir 20 munitions de fusil de chasse,Erhalten Sie 20 Schrotflintenmunition,20 av tüfeği cephanesi al,20 शॉटगन बारूद प्राप्त करें,Primiți 20 de muniție cu pușcă,تلقي 20 ذخيرة بندقية,20 ShotGun Ammo ကိုလက်ခံရရှိသည်,20 شاٹگن بارود موصول کریں,20 শটগান গোলাবারুদ পান
BUFF_SPAWNNOTIFICATION,Buff spawned. Pick it up!,Buff已出現，撿起獲得各類加成,บัฟมาแล้ว ไปรับบัฟเร็ว!,Buff đã xuất hiện. Mau nhặt!,Buff muncul. Ayo ambil!,Bônus gerado. Pegue-o agora!,Beneficio generado. ¡Recógelo!,Появился бонус. Успей взять!,Buff apparu. Ramassez-le!,Buff wurde hervorgebracht. Heb es auf!,Güçlendirici ortaya çıktı. Hemen al!,बफ स्पॉन्ड। इसे उठाएं!,Buff a născut. Ridic-o!,ظهر المعزز. التقطه!,buff မွေးထုတ်။ အဲဒါကိုကောက်!,بوف نے پھیلائی۔ اسے اٹھا!,বাফ স্পন হয়েছে। তুলে নিন! 
BUFF_SCAN_NOTIFICATION_SEEKER,Detect hider in the area,掃描到區域內有躲藏者,ตรวจหาผู้ซ่อนในบริเวณนี้,Phát hiện người trốn trong phạm vi,Mendeteksi hider di area,Detectar oportunistas na área,Detectar Escondidos en el área,Обнаружение Прячущегося...,Détecter le cacheur dans la région,Hider in der Region erkennen,Bölgedeki saklananı bul,क्षेत्र में हाइडर का पता लगाएं,Detectați Hider în zonă,اكتشف المختبئ في المنطقة,the ရိယာ၌ Hider detect,علاقے میں ہائڈر کا پتہ لگائیں,এরিয়াটিতে হাইডার শনাক্ত করুন
STAR_TIPS_LEFT,There are {0} stars left!,場上還剩 {0} 顆星星,เหลือดาว {0} ดวง!,Còn {0} ngôi sao!,Ada {0} bintang yang tersisa!,{0} estrelas restantes!,¡Quedan {0} estrellas!,Осталось {0} звезд!,Il reste {0} étoiles!,Es sind {0} Sterne übrig!,{0} yıldız kaldı!,वहाँ {0} सितारे बचे हैं!,Au mai rămas {0} stele!,هناك {0} نجوم متبقية!,{0} ကြယ်များကျန်ရစ်ရှိပါတယ်!,{0} ستارے باقی ہیں!,{0} তারকা অবশিষ্ট!
STAR_TIPS_SHOWTAG,Stars are coming!,星星即將出現,ดวงดาวจะมาแล้ว!,Các ngôi sao đang dần xuất hiện!,Bintang akan datang!,Estrelas chegando!,¡Se acercan las estrellas!,Звезды близко!,Les étoiles arrivent!,Sterne kommen!,Yıldız zamanı!,सितारे आ रहे हैं!,Stelele vin!,النجوم قادمة!,ကြယ်များလာကြပြီ,ستارے آرہے ہیں!,তারকারা আসছে!
STAR_TIPS_WINHELP,Hiders can gather stars to win early,躲藏者集齊星星可獲勝,ที่หลบภัยสามารถรวบรวมดาวเพื่อชนะก่อน,Hiders có thể tập hợp các ngôi sao để giành chiến thắng sớm,Penyembunyi bisa mengumpulkan bintang untuk menang lebih awal,Hiders podem reunir estrelas para ganhar cedo,Los ocultadores pueden reunir estrellas para ganar temprano,"Стехники могут собирать звезды, чтобы выиграть рано",Les cachés peuvent rassembler des étoiles pour gagner tôt,,Gizekler erken kazanmak için yıldız toplayabilir,हाइडर्स जल्दी जीतने के लिए सितारों को इकट्ठा कर सकते हैं,Ascunzătorii pot aduna vedete pentru a câștiga devreme,يمكن أن يجمع Hiders النجوم للفوز مبكرًا,မိုးသည်းထန်စွာရွာသွန်းသောကြယ်များကိုစောစီးစွာအနိုင်ရနိုင်သည်,ہائڈرز جلد جیتنے کے لئے ستارے جمع کرسکتے ہیں,হাইডাররা তাড়াতাড়ি জয়ের জন্য তারা জড়ো করতে পারে
STAR_TIPS_HIDERWIN,Hiders survived and the altar was activated!,躲藏者倖存，祭壇被啟動,ผู้ซ่อนรอดชีวิต แท่นบูชาทำงาน!,Phe trốn sống sót và đền thờ được kích hoạt!,Hider selamat dan altar diaktifkan!,Os oportunistas sobreviveram e o altar foi ativado!,¡Los Escondidos sobrevivieron y el altar está activado!,"Прячущиеся выжили, алтарь был активирован!",Les cacheurs ont survécu et l'autel a été activé!,Hiders überlebte und der Altar wurde aktiviert!,Saklananlar hayatta kaldı ve sunak etkinleştirildi!,हाइडर्स बच गए और वेदी सक्रिय हो गई!,Ascunzătorii au supraviețuit și altarul a fost activat!,نجا المختبئون وتم تنشيط المخبأ!,လျှို့ဝှက်ထားသူများသည်ဆက်လက်ရှင်သန်ခဲ့ပြီးယဇ်ပလ္လင်ကိုသက်ဝင်စေခဲ့သည်။,ہائڈرز بچ گئے اور قربان گاہ چالو ہوگئی!,হাইডাররা সার্ভাইভ করে এবং দ্য অল্টার সক্রিয় হয়!
STAR_TIPS_SEEKERWIN,Seekers succeeds and the altar is sealed!,搜尋者成功，祭壇被封印,ผู้หากำจัดผู้ซ่อนได้ทั้งหมด แท่นบูชาถูกผนึก!,Phe tìm thắng và đền thờ bị phong ấn!,Seeker berhasil dan altar disegel!,Os rastreadores ganharam e o altar está selado!,¡Los Buscadores han tenido éxito y el altar está sellado!,"Водящие преуспели, и алтарь запечатан!",Les chercheurs réussissent et l'autel est scellé!,Suchende gelingt und der Altar ist versiegelt!,Arayanlar başarılı oldu ve sunak mühürlendi!,साधक सफल होते हैं और वेदी को सील कर दिया जाता है!,Căutătorii reușesc și altarul este sigilat!,الباحثون ينجحون ويغلقون المخبأ!,ရှာဖွေသူများအောင်မြင်ပြီးယဇ်ပလ္လင်ကိုတံဆိပ်ခတ်ထားသည်။,متلاشی کامیاب ہوجاتے ہیں اور قربان گاہ پر مہر لگ جاتی ہے!,সিকারেরা সফল হয় এবং দ্য অল্টার সিল করে দেয়া হয়!
STAR_TIPS_COUNTDOWN,The star has {0} seconds to appear,星星還有{0}秒出現,ดาวมี {0} วินาทีปรากฏขึ้น,Ngôi sao có {0} giây để xuất hiện,Bintang memiliki {0} detik untuk muncul,A estrela tem {0} segundos para aparecer,La estrella tiene {0} segundos para aparecer,"У звезды есть {0} секунды, чтобы появиться",L'étoile a {0} secondes pour apparaître,Der Stern hat {0} Sekunden zu erscheinen,Yıldızda görünmek için {0} saniye var,स्टार के पास {0} सेकंड दिखाई देने के लिए है,Steaua trebuie să apară {0} secunde,النجم لديه {0} ثانية للظهور,အဆိုပါကြယ်ပွင့်ပေါ်လာဖို့ {0} 0} စက္ကန့်ရှိပါတယ်,اسٹار کے پاس ظاہر ہونے کے لئے {0} سیکنڈ ہیں,তারার উপস্থিত হতে {0} সেকেন্ড রয়েছে
ALTAR_TIPS_SUN,The altar is activated and goes into daylight mode,祭壇被啟動，進入白天模式,แท่นบูชาทำงานแล้ว เข้าสู่เวลากลางวัน,Đền thờ kích hoạt và thời gian chuyển sang ban ngày,Altar diaktifkan dan masuk ke mode siang hari,O altar foi ativado e entrou no modo luz.,El altar está activado y entra en Modo Luz Diurna,Алтарь активирован и перешел в режим дневного света,L'autel est activé et passe en mode lumière du jour,Der Altar ist aktiviert und geht in den Tageslichtmodus,"Sunak etkinleştirildi, gündüz moduna geçiliyor",वेदी सक्रिय है और दिन के उजाले में चला जाता है,Altarul este activat și intră în modul de zi,يتم تنشيط المخبأ و يتغير إلى وضع ضوء النهار,ယဇ်ပလ္လင်ကို activated နှင့်နေ့အလင်းရောင် mode သို့သွားသည်,قربان گاہ چالو ہے اور دن کی روشنی کے موڈ میں جاتی ہے,দ্য অল্টার সক্রিয় করা হয় এবং ডে-লাইট মোডে যায়
ALTAR_TIPS_DARK,The altar is sealed and goes into night mode,祭壇被封印，進入黑夜模式,ปิดผนึกแท่นบูชาแล้ว เข้าสู่เวลากลางคืน,Đền thờ phong ấn và thời gian chuyển sang ban đêm,Altar disegel dan masuk ke mode malam,O altar foi selado e entrou no modo escuridão.,El altar está sellado y entra en Modo Nocturno,Алтарь запечатан и перешел в ночной режим,L'autel est scellé et passe en mode nuit,Der Altar ist versiegelt und geht in den Nachtmodus,"Sunak mühürlendi, gece moduna geçiliyor",वेदी को सील कर दिया जाता है और रात मोड में चला जाता है,Altarul este sigilat și intră în modul de noapte,المخبأ مغلق و تغير إلى الوضع الليلي,ယဇ်ပလ္လင်သည်တံဆိပ်ခတ်ပြီးညဥ့်အခါဖြစ်သည်,قربان گاہ پر مہر لگا دی گئی ہے اور وہ نائٹ موڈ میں چلی جاتی ہے,দ্য অল্টার সিল করে দেয়া হয় এবং নাইট মোডে যায়
